topic,rank,doc_snippet
20,2,promyses thre gospell shuldest s o congregacyon euerlastynge blessynge euermore swete lorde prayse perpetuall honou pleased god offyce gouerne churche christen congregacyon therin entyce geue praye soch wholsom exhortacyon clere edyfycacyon glad aduertysement chylde obedyent wele tha marke sayed dylygentlye loke obeyed effect knowe lorde euerlastynge stronge gracyouse godlye touchynge fraternall concorde fauer norrysh non iniurye kepe couenau tes loue true matrymonye noble effectes temper fulfyll best effect worshyp lorde god fle idolatrye slee stele beare false recorde shewe synne seke remedy
20,3,iusiurandum god afore fathers kepe euermore promesed regarde lore forsakynge pope dampnable stor e daturum nobis vt sine timore romysh tyrauntes fre lorde graunt grace speakers holy worde therin agre gospell christen lyberte seruiamus illi sanctitate purenesse lete trauayle mayden wyfe ryghtwys doynges euer ryfe perseuer debate stryfe omnibus diebus nostris puer propheta elected lorde kynge edwarde sixt gods lawe restorde folowest iosias therof recorde doynges gods holy worde parare vias eius ad dandam scientiam mennys helth sauegarde christes holy gospel theis frelye hearde wherin consyst rew
21,1,s practise s practise ollow steps tutor night day sacke loue philosophy heard lecture bankes horse aristo tle comparison laugh foolish simpli morning learn dly sleepe night sleep night s point phi losophy sit late roare till rattle wel kin sleepe deaths cater cou sin nature gaue starres sleepe day sleepe sleepe night arrant paradox paradox crampt sleepe sleepe day morning morning poxe morning sober time day true learne fel low pupils wee fellow pupils wee conferre notes conferring notes drinking cups halfe pots saying parts singing catches repetition fellow pupill conferre note gramercy braue 
21,2,miracle rainebowes skie cleare vnseene beauties sof ly rest sleepe quiet sleepe stony chest long long shortly rockie bed slumber olinda olinda sleepe fil meane time neere rest eyes rest close olinda harke harke arion choice musician sing note awake pale death moue deafe hell stygian io e orpheus o idle idle sleep sleep eyes short releasement sleepe sleepe euer awake face obiect sleepe vaine eyes wish worthie t daughter greatest light powerfull circe thon honour d glaucus dutie poore fisher maid thankes vowes holy offerings ready sacred altars thalander sacrifice offerings appease wronged loue 
21,3,lords sleepe musicke depart leaue ease alasse sweet boyes pitty noble branches sweetly knit wake hard heart sighe sake lord bernardo knockeh study newes fast sleepe bed ti chamber voyded performed lord blessinge rest benardo depart letters deliuerd conuayd lore ce leaue sl p secure fatall bed hat god silence morpheus black horne seal d langued eye lids loaden pale death sleepe draw latest breath poore meles boyes strangers sinne euill soule innocent office highest consequence friendsh p consider sent million sorrows flowry fields paradice habit groues mittle feed manna drinke pure nectar cup e
22,1,heart receyues conqu ring opinion w hich entertain d limbes working swords bowes directiue limbes pardon meet achilles meet hector merchants wares perchance l better better euer hector achilles meete honour shame dogg d followers old eies glory achilles hector proud weare better parch affricke sunne pride eyes hector faire foyld maine opinion taint lott ry deuice aiax draw hector allowance worthier great myrmidon broyles lowd fall prouder blew iris bends dull aiax wee l voyces faile vnder opinion better men hit proiects life aiax imploy d pluckes downe achilles plumes begin aduice forthwith ag
22,2,match y naile horne lady beg begge venus hellen maide againe debtor claime s day lady word bring father woman quicke fie fie ther s language eye cheeke lip foote wanton looke euery ioynt motiue body encounterers glib tongue welcome ete comes wide tables thoughts euery tickling reader downe opportunitie daughters game troians trumpet yonder comes troope haile greece victory commands victor knowne knights edge extremitie diuided voyce order field hector bad aske way hector cares heele obey conditions hector little proudly great deale knight oppos d achilles achilles achilles ere extremity great 
22,3,dragon wing night ore earth ar mies halfe sword frankly fed pleas d dainty bed goes bed tye body tayle field troian traile harke harke peace drums achilles achilles hector s achilles bruite hector s achilles great hector march patiently pray achilles tent death gods befrended great troy wars ended stand hoe field home night hector hector gods forbid s dead murtherers taile drag d field frowne heauens effect rage sit gods throanes troy briefe plagues mercy linger lord flight feare death dare imminence gods men dangers hector gone priam hecuba aye d troy hector s dead word priam turne wels niobe
23,1,dothe bewayle olde fyble father slayne wayght yeres wyth bowing stoope alow constraine godlye mynded systers yblynde wyth mystye vale clokyng colour o crafte durste ventrusly sayle mount myfcheife merueylus mangle eaw cut fathers dere vnioynted lym boylyng cald open gyl ynes purge strayght ason dyscharge blot gyltye blame gentle handes staind wyth gore blood aloofe pyracie refraynyng far stood harmelesse handes r wyth gorye tooles mell st fyer fyrste myghty myscheifs fell shamelesse womans e brain manly stomack stoute et gog tempt brynge ils aboute regarde scundyng trumpe fame wyth ryngyng bla
23,2,precyous fulgent gorget eake brauelye glytters bryght wyth seamlye shynyng seame golden thrydes dyght wrought betwene row pirles stand b orders round wherwyth golden crispen lockes wonted crounde lytle chyldren beare presentes bryde fyrste wyth slybber abbar sosse chauntmentes shalbe tryed request ayde hecate redynes prepare lamentable sacryfyce bla dye aare enforce fyers catchyng houlde rafters hye crackling nois flamie sparkes rebounde azur skye fyers force rumb yng cage boysteous blustryng darte shot ling skyes terrour mynde dryue ull wyfe dothe boyle burnynge hate depryued spo sall bed com
23,3,season sawced robes worke creusas woe wherw t shal pranke self poyson rotte warde marye oute wythin bones mayfry secret fyer bleares eyes wyth glosse yealow golde prometheus gaue fyer fylcher bolde robbery heauens aboue commyt wyth massy payse great caucasus thunweldye hyll syt vnder wyth vnwasted wombe lyes payes paine feede cra myng foule w t gubbes guttes growes agayne taught wyth pretye sleyght connyng hyde strengthe fyer close kept espyed lyuely tinder mulciber forged sake tempred wyth brymston quick fyrste touche eke cosen phacton wyld fyer flake flames monstrous stagharde rough chimera 
24,1,si non secundum quantitatem secundu m aliquam ex terna apparentiam vulgus id videat prudentiam vt sumam si suades ea est animo meo quasi sanguis corpore apollo pallas mercurius mihi sunt individui comites quibus cerebrum meum coelum est non possum non prudens esse pro honore vni versitatis etiam quid ni nihil admittam ego indignum oratore aut philosopho sed viden tu aedes illasce ibi habitat quae habitat quarum parietes sunt beatiores hi que quaque lydiam complectuntur meam quae fugit sicut apolli nem daphne olim et tu sic irrationalis es ut ames quae odit te o plumbeum pugionem quasi non dixe
24,2,atqui ex serico illo setino quod thoracem e meras prorsus nihil lucrari statuo londinj ad singul ulnas pecunijs numeratis constabat quid erra nolo s s p ita meminj s s s nempe binos coronatos dimidio ego tantundem posui non obulo plus vide lege s s p siue quoniam aequum est ut aliquid lucreris ultra tem nam sorte sua nemo contentus ego tibi pro singulis ulnis resoluam s p q r quod tantundem valet ac senatus po pulus romanus ita te reddam di tiorem ipso crasso qui cognomine vel cognomento dives nam pop rom id est populus romanus qui tot exer citus alebat erat illo ditior habebat capitolio vel a
24,3,au licarum rerum laboribus senatorijsque muneribus essem liberatus aut aut parte retuli te revocante ad istastu dia quae plenissima sunt amoris non inania voluptatis tu es illa parvula piscicula remora mea quae ad aulam regiam velis quod aiunt remis que properantem consistere tumque amor meus socra daemon insusurravit mihi futuru vt sicut gutta cavat lapidem non vi sed cadendo sic ego nullis meis meritis non audeo id dicere imbribus importuni tatis emollirem morositatem tuam vel nunc sera est ad bonos mores precor canas palinodiam sapias ad ex tremum canescas nectute scio omne pulchrum cujus m
25,1,e meanes meeting appointed melibea interim ce lestina calisto discoursing sempronio parmeno fall talking betweene themselues celestina takes eaue calisto gets whome owne house knocks doore elicia opens sup rest o thrice happy day home ioy wherewith laden parmeno sempronio going mi tle groue meete calisto house demand ward great newes bring heede lest long stay occa sion talke world honesty care word people dayes commonly spoken hypocrite deuout s ffe dirision gone mirtle groue sacrifice halfescore hecatombes sighs ay mees venus sonne prosper preferred fauour fruition mistresse opprest passion 
25,2,fell loue melibea yeeres young blood noble estate great daughter heire father pleberio mo ther alisa exceedingly beloued chaste pur pose conquered hot pursuite amorous calisto celestine interposing businesse wicked crafty woman deluded seruants subdued calisto wrought disloiall fidelitie taken wtth hooke couetousnesse pleasure louers serued wretched vnfortunate end entrance whereun aduerse fortune afforded fit opportune place presence calisto desired melibea presen ted calisto entering garden vsuall met melibea loue caught began court sharply checkt dismist gets home troubled grieued consults 
25,3,hazarded life cali sto s owne worth ioynt intreaties merit hope reward paines franke noble gentleman celestina entred calisto s house calisto great affection earnestnesse demandeth hapned betwixt melibea continue talking parmeno hearing celestina wholy owne priuate profit turning himselfe sempronio eue ry word giues nip reprehended sem pronio end old celestina discouers calisto businesse shewes girdle brought libea taking leaue calisto gets home owne house taking parmeno newes mother deare mother o lord master calisto o new louer iust cause fairest libea canst old woman mends hazarded life ser
26,1,s newes court olde newes old duke yon ger brother new duke foure louing lords voluntary exile lands reuenues enrich new duke giues leaue wande r dukes daughter father o dukes daughter loues euer cradles bred followed exile died court beloued vncle owne daughter la dies loued old duke liue arden merry men liue old robin hood england yong gentlemen flocke euery day fleet time golden world morrow new duke acquaint matter giuen yonger brother orlando d try fall morrow credit broken limbe acquit brother young tender loue loth foyle owne honour loue hither acquaint withall intendment brooke runne th
26,2,hate comming world rob land onely brother tricks proued open court dukes power hope reueng d duke king fearing duke rob keepe duke leaue drugges offer d d honor looks blacke ends reuenge profit blood foes friends duke morning ridden forth letter s require long grace morrow morrow read ouer words belieue prologue feare affection clarinda s duke d anger riual d boyle takes way force owne arme imploy sword life gaue tels apparant world euen giuen clarinda giuen deceiud rhat loue glad howeuer meete according write letter clarinda home night carry letter table clarinda honour men conditions
26,3,nonecan gone fight young looke grudge betwixt fell lately priuate count trante imploy d noble duke feare death true loue young lady faithfully performe vaine long time beene loue young knew gaue duke notice farre duke gone fight cerraine true deny d married duke loue faithfull beleeue time return d requite gentleman euer weepes alas goodman weepes bring word duke aliue redeemes king exeunt manet iaco hope backe aliue knowes villaine forward offers til tried better kindly paines wants duke kild reueng d land king pro mis d way kild duke clarinda firme beleefe dearly loue liuing heare finde vill
27,1,disdaine gentle pible pables awle hearts looke noble faire lady seruice change antonio breake anon thiefe robd selina restitution antonio deuill faith deale honestly true selina hopes heauen sister brother antonio happinesse beest antonio assume habit anon liues infortunio hees gasparo sister lost felice rauisht wonder keepe face constant musicke calls meanes selina blessing children s selina antonio amazement antonio selina s wife confess plaid felice long lost daughter gasparo vowes heauen long sacred beg possest infortunio stay children stay heed strength ioy fainting age beare fall showres
27,2,alas battle lost whorish loue drunken healths houts shouts smooth god saue s diuels tempts quiet hell throngs spit lucio turnd slaue obserue passion domineres ore wonder noble lord hauing lost sonne country crowne lucio hauing lost sonne sonne country house crowne sonne o lares misereri lares deplore sonne sonne deare sweete boy deare antonio antonio eccho meane antonio antonio meanes antonio st antonio liues lies deade antonio dost dost foole thinks knowes himselfe faith heauen worthy andrugio s blood denied s antonio worthy d father denied andrugio dost liue o kisse cheeke deaw browe trickli
27,3,h eere informe trincalo turn d t antonio beleeuing cursed sonne reprochfull threats droue old father owne doores rest doubtfull true antonio astrologer chang d trincalo feareit plaine albumazar cheated old master plate s farmer himselfe euer onely cloathes excepted trincalo cricca s trincalo st ranke asse e rt deceiu d st st transform d transform d lelio farmer s halfe foole halfe knaue pandolfo intreatie perswade transforme labour hardly bring coxcombe himselfe nere t antonio going owne house pandolfo flauia armellina farmer trincalo dar st cricca meaner seruant resemble worth worship clowne 
28,1,gentle ministers hopes swords way wish hearken frutes couragious fight spite romane basi sks seeke quell currish lookes pontus weele gold harts orientall pearles decke browes gentle rends romane peeres kinde pompey worthie consulls abide father state braue lads lucretius spight brauling senators dare attempt asia driue mithridates doores scilla words mickle worth fit master great minde rome stoop marius frends left armes trust heeles pompey spanish iennets feete learnt poast mother winde hope nip gray beards heeles till cropt shoulders head sonne proud aspiring boy beardlesse face wanton smili
28,2,citie amazde scilla hasts ente r rome furie sword place head capitoll wards dangers hand exit foreseene luckles chance old anthonie liude breathed exeunt romanes mutinies seditions murthers conspiracies imagine vnpartiall harts vvhat frutes proceed contentious brawles streetes earst fathers state robes purple walked downe strewd mangled members streaming blood reasons ruthfull wrack seditious innouations fickle mindes inclinde foolish change vngratefull men tedious paine asia seald dutie blood making fierce dardanians faint feare spredding cullers galatia dipping sword enetans blood foraging f
28,3,s lord gouerning state liue rest die honor lets pompey curteous frend remaine secure weilds charge wit lattrers doo commend aduisde careles runs large o pompey honnie words makes foolish mindes po greatest wit error blindes murdred ant o e frend romanes lost commaund fathers mothers brothers allies scilla thinking misdeeds thinks grudges mislike countrimen beare minde pompey silly leaue rule trust romans grace small occasions seeke citizens disclaime pompey reaching plumes pride mounted fortunes clowds graue conceits straight laid aside scilla thinks farre simple shrowds hauing tride occasion 
29,1,frolick d ard welcome cell heere tempers frier bacon toies holds place court wherin diuels pleads homage wor ds pr pectiue day whats merry twixt louely peggie lincolne earle frier edward trie lacie meaneth lord stand looke directly lord keepers louely appeare bright parramour mars onely attended iolly frier sit keepe eye frier bungay true faire courtious countrie father farmer nie lord lacie earle peggie true lacie life cunning faile left prince edward procure loues greene holpe runne henry prince wales lure lord lacie poore margret daine wed countrie frier humble handmayd great wealth quite m
29,2,merry fancied keepers bonny craue iollyfryer lacy earle lincolne left treat faire margret allow loues friends men loue baffle lords earle wooes courts ned fryer knoweth apollo vtter amazed heare iolly fryer euen thoughts learned bacon helpe fryer pinch loue louely margret true prince wales liuing lands colledge fryer helpe prince ned fryer glued coniuration cut head force faith lord manhood alike coniured doctor dumpe helpe prince liberall proue craue actions greater dumps lord magicke day comes earle fore night day darke betrothed weele s day merry gramercies bacon quite paine traine lord tow
29,3,frolicke edward welcome cell tempers fryer bacon toyes hold place court deuils pleade homage words wi day s merry tvvixt louely peggis lincolne earle fryer edward trie lacy meaneth soueraigne lord stand looke directly lord keepers louely appeare bright paramour mars onely attended iolly fryer sit keepe eye fryer bungay true faire courteous country swaine father farmer nye lord lacy earle peggie true lacy life cunning faile left prince edward procure loues greene holpe run henry prince wales lure lord lacie poore margret daine wed countrie fryer humble hand maid great wealth quite margret loue 
30,1,dar profer knowing spurre pricke death burbon bellamire hang knights noble ferdinand freely controule ferdinand honor brother loue s fathers batterd fraunce flaunders burbons impeach preiudice philip ferdinand knight things traytrous burbon knight looke agayne rodorick keepe word fayle forward exit action net perceyue intangles pembrooke court france nauar toucht time looke determine heart tumults peace ferdinand gracious prouidence recouered mortall wounds new life body reuiude reuiue ancient mind friend pembrook honord life hand cut place remember whats heere tombe preuented religious duty f
30,2,wee mayntain true andwee mayntain heauen toung prophanes ferdinand villany cut throate bloud dam vpbraydes content knight labor morrow expir d time truce fraunce battalions plaine prepar d pitch meet meet sound drums trumpets honord knight farewell morn ge newes tel heady rage blind drew ferdinand field hot kings wer t vowes prohibit inconuenience fight daughters error time run runne comes straggler army stand voice byd force bright ayre reflecteth army nauar philip dar profer knowing spurre pricke death burbon bellamire hang knights noble ferdinand freely controule ferdinand honor brother lou
30,3,belike lou d pembroke wrongfully honor mymemory ferdinand ingratefull pembroke knight homage nam ferdinand liu d knight exceld petty fame farre pearle pebble knight cald pembroke bones interred heere requir content hang comes belike affected ferdinand hearing wrong couets amends meanes prooue imbrace vnfayned loue doubt twas ferdinand renowned knight world deny giuing pembroke preeminence ferdinand valour try pembrooks valour fight die eyther dreame ferdinand deludes pembroke lyues thrice happy honord imbrace friend welcome welcome pembrok armes imagined death tane princely ferdinand liues con
31,1,tithonus faire wife coms home sun set euery night coms home ould tithonus husband sweete cephalus leauing gray beard hartily kissing phillis alas gone gone t o auernus gone far returne tormenteth amyntas white black sweete sowre sense amyntas night day weepe ground moyst weeping mourne lament howle powre forth plaints heauens soe nightingales bushes thorny remaining sing dolefull notes tunes sweete harmony making yong ones mourning yong ones dayly bewayling phillis alas gone amyntas againe death desteny stay stay groues darcksome dens auernus s noe path returne noe starting hole scaping desten
31,2,groane trees bending yeeld groanyngs ground griefe shews complexion altred soe ground trees rocks eccho resounding heare geu s fresh increase sorrow happy shepherds keepe company fryendly togeather yeelding mournyng phillis wander stil rocks mountayns dwelling darck dens wylde beasts frequented noe path noe s seene passing woods soe darck broad shadoe braunches noe sunne day noe moone night behould heare noe voyce goblyns horrible outcries owles balefull skrikings crowes vnlucky resoundings shal eyes resolud watery fountayns fountayns flow ouer long pastures playnts beasts mourne playnyngs pla
31,3,northerne wynds sheepe chaunce pinched frost snow kyds chaunce greeued phillis lou d soe soe phill loued amyntas phillis guyde phillis fryend amyntas sweete sheepe sweete goats spare lyuely looke weeping face soe sadly harcken plaints songs heauy harcken pype pipe vnlucky sweete sheepe sweete goats leaue mayster amyntas leape skyp flowring fields leaue amyntas clymbe vynes tender trees leaue amyntas clymbe vines run life feare mischif ould silenus asse com s laesyly trotting lament mourne beloued celebrate death tears mourning siluer swan whoe seeing death comming wandreth whyle streames louel
32,1,com pare great world liue devided parts outward court inward sanctuarie earth sea al kind creatures ch outward ward court sanctuarie heaven god lone heaven men ceit fitly compared little world holy scripture bo dy soule spirit soule taken dicitur nima dum vegetat ritu dum templatur aug sp anim l c affections spirit vnder concerning tabernacle j bo dy ofte times holy cor pet pet writ body tabernacle bo dy soule tabernacle exod arke arke containing prin cipally tables commandeme ts bet ter affections beare sanctuarie wel roome ding temple com pared times holy scripture called temple god knowe co
32,2,deforme power force therof great beauty davids times time times prophets da vids long glorious having beau tifull temple adorne temple howbeit note beauty outward needed inward eie eie contemplation kings daughter prophet glo rious quite contrary world ly beauty worldly beauty hard reacheth skin outward su perficies faire foule egip tian temples marvellous beautifull god crocodile cat caue den adunghill ancient clem alex padag l c father place gor geous temple beauty deed corpo ral eies common flies g ts eie s non latin alphabet theod graee affect c r ser theodoret faith heads prophets eie eie
32,3,endevour manner fur o early late partes naked beene hetherto producing effect wee corporation time brought certain davids david puts minde gratitude manner gratitude performed finding new places temple lord new habitations god iacob daies maintaining old pla ces old habitations god iacob tendring continual times divine service wordes fourth parcel wordes night read evening prayer reading fol low tra bibles differe ce words thing lord require maie dwell lord al daies life beholde faire beauty lord temple words giving hen egge plinie plin l c tels able hens points lie petition prophet david s co
33,1,heare great iudges charities king heart penitence calme high going ruine eternitie lords owne places helmes providence looke forth devouring ambition d pride falling time employments heaven feele revengefull wrath boyling blood entrills blacke horrid prickt terrour wounds pious admirall beare repentance thither mercifull encline king lightning threatens free title office pride look d buy poore lives court life farre village note direct confining live country fable having offended death beg d hope nature offences d fall ground parts lord high meanours iudges equall lord admirall foule corrup ti
33,2,id foule facts prov d words deedes looke thats foule affronts d knowledge produce prove cleare heaven warranted appeare admirall lawes volumes d france looke having d wonder nature beene cleerely prov d arraignement heard touch urg d advocate dare affirme corruptions charg d argues chabot corrupted urg d prove admirall corrupt exaction officers taken boate d normand mountaines marvells cleere proofe life hated admirall lives conviction threats lord chancellor bench affirming capitall account traitors names note letters wee enforc d law feele finde head braine beene purg d fall peeces rotted be
33,3,chiefe engine rais d worlds creede labour fall beame onely guild fortune differen ce ground arraignement confirm d mighty impetuous waves owne innocence breake truth wonot wings cover obey fate lie fame mentioned story kingdome beene beleeve walkes beene prayers plot great ones noble admirall frighted fancy dreames uncement affections der fable france brave montmorancie gratitude acknowledge creature dignified honor d high favours equall truth declare admirall thoughts claime birth title offices throwne warme crowne brib d glories guilt chabots ruine act pollicie greene wants mature fall prepa
34,1,ambition lets caesar wrong maiestie sweetnes vvhich makes exact add pride grace greatnes knowes canst hurt procure sith strength ceaz d hands feares labours shew rome great queene bands great ladies enuying stain d hell d wonder ioy fortune extolling brought vnder seeke stay caesar loues pray st y u far affection moues powre prayer preuaile ioyne hinder disgrace euen present day fayle best caesar case euen letters sent met messenger hither dispatch caesar went knowes imports sending thither cleopatra late sacrifice ritchly clad vvas seru d dinner sumptuous state vvith brauest ornaments hauing 
34,2,brest nurse dissention vvith hope t exalt t augment state pray wrack o f contention rest foes ioy thereat o caesar easie t accuse fortune faultie fall wretched conquered refuse titles reproch s charg d withall conquering cause right y u vanquisht iudg d worser lost lesser portion crowne alas needed arte gaine keepe owne heere weaker powers note neighbour great competitors neere oft perrish neutrall bide parties feare alas forst partakers following perrish caesar sith right cause heauie weight calamitie depresse afflicted ouer chiefest glory victors lenitie inheritaunce mercy fortune great caes
34,3,heritance mercie fortune great caesar queene caesar confound read lines witnes loue fauours euer god forbid said caesar wrong d fauoured caesar looke beene antonie present note treasure iewels rare egypt ages got looke cleopatra s set downe roule things reseru d apart vile vngrateful wretch dar st troule queen soueraigne caitife hands hold holde poore reuenge worke feeble ah caesar great indignitie vassall subiect stands t accuse lord trecherie reseru d certaine womens toyes alas god knowes poore miserable soule little ioyes trifling ornaments outward showes kept kept way liuia octauias grace 
35,1,ard body maintaine flea land left reare calfe twelue mouth euer greene plouer pull d little beene heere beene tall peares exchange beauer hat cloake finde blacke boxe patent feemes place gentleman comes gaine doublet thing thieuing cooz ning fayre bartholmew fayre quoth euer bartholmew lucke t martyr d throws away peares smithfield paid peares rot hem keepe hem longer choake peares bin better gone mum chance thinks fayre d twere names d dog o o numps triumph friend lye carry home money cloake hat fine numps grace gentlewoman marryed cut worke handkercher ga day bargaine o hobby ginger bread tr
35,2,e heare lady o basket farther ginger bread pro geny hinder proclaim d fayre brother leather head s bread rotten egges ginger dead honey met enormity marre market old ione marre market proud pedler defie hobby pay ground wrong parcell poet inginer finde friend right ballad cattell ouer pride wares old ione talke anone downe afore ouerdoo charme piepouldres charme meet face face afore wor dar little crooked o bo dy vpright dealing woman smith field charme glad heare terror doing lacke t buy lacke rattles drums halberts babies o fid dles o enter buy peares peares fine fine peares buy ginger bread
35,3,e heare lady o basket farther ginger bread pro geny hinder proclaim d fayre brother leather head s bread rotten egges ginger dead honey met enormity marre market old ione marre market proud pedler defie hobby pay ground wrong parcell poet inginer finde friend right ballad cattell ouer pride wares old ione talke anone downe afore ouerdoo charme piepouldres charme meet face face afore wor dar little crooked o bo dy vpright dealing woman smith field charme glad heare terror doing lacke t buy lacke rattles drums halberts babies o fid dles o enter buy peares peares fine fine peares buy ginger bread
36,1,love whic h lifts joy weigh great heart downe heavie love unhappy forward grow griefe leonora heare conflict heard pittying admire vertue love tyrant gentleman lover ve d love madame lay hand heart feele pants hearing owne conquerour pardon madam blaming love forget match private gentleman point forget child king remember madam leonora die thing unworthy birth noble merit ought produce true love flie examples authorize follow honour ingag d love courage thinks noble true tels daughter king deeme love monarch heart force owne defence away dare cimena fetters kindle owne amaz d expect marriage o
36,2,h vertues alike honor d lov d love forgon love true love remembrance roderigo s object madam king stayes king j expects infantas power vain tryes winne throne grave ime power ore took heart exeunt m adam true bin offer heart unworthy fault low thoughts pentance grace leave attempt love loving deny office eyes contemplate love appeare perceive obedience better read faults believe charm j content love depend brother confin heart dare hazard leave warrant till dare known entertain fit obedient law favour leave vertue love proceeds freely challenge
36,3,revenge fa ther ought love teares sancho taking quite ruin d doing prize kind pitty mov d king grace revoke cruell law lov d dearely reward leave bewaile time live father lover perceive loves thinkes crime t vow lawfull love sweet heart roderigo lives sancho report heat deceiv d given leave noble lover d bade feare d leave uncertaine drop bloud s ventur d cimena duty d attend king ooe entertaine feet offer life deceiv d returne thought beene victor anger betray d love impatience minutes audience d love great repute gainer loving brings faire flame d love cimena meanes honour s d duty quitted f
37,1,conuay priuily saue tender bloud hectors progeny trembling feare wakt rold eyes aboute forgettyng long child pore wretch hector alas spright away o childe o noble fathers broode troians ioy o worthy thauncient bloud beaten troy o ymage father loe liuely face countnaunce lo hector euen pace pitch body handes beare high threatning browes euen o begot late troy borne shal euer agayne happy daye reuenge build agayne towres troy towne troyans ioy forgettyng great thinges captiues liue alas priuy place left litle childe hide bide towre walles s valiaunt world notable turnde al e troy towne left hide
37,2,fury fel den wrath hell troy light woe guyde hand pen weeping wryg ht author bewayle aright helpe woefull wel teares weeping eye battered ground towres troy writ auncient authors greekes agayne repayrde seas ioy hel achilles spright vengeance craues vvith bloud death quight paris phoebus temple guile trapt loue polyxeine wrath hel pryce bloud polyxena craues threatninges grecians bloud gone sprightes hell pittes beneath o virgin dere alas death hectors alas pore foole mothers onely ioy iudgd die calchas alas whyle death led boy tumbled downe turrets tops troy ruthful teares wayle woe hectors w
37,3,notblame old years monthes twice flue feare wars trauails dreadyng troy wel wonne great thing grecyans moue feare hectors rid feare fleete pluckes backe agayne hauen nauy til hectors bloud count feerce fates hectors require wel chaunce needes beare pacient hart suffer agamemnon alas child god wert mothers hand knew held land mothers fayth tender child enmies al cruell weapons greekes pinching bandes yron handes bound els feruent flame fyre body rounde litle child pore wretch alas alas cruel chaunce hapt ranging fieldes ther abroad troy ouertroad greekes alas laught bloud torne iawes foules foo
38,1,halfe houre life treacherous hand vnbated envenom d foule turn d loe heere lye againe mothers d king king s blame point envenom d venome worke o defend friends hurt heere murdrous damned dane drinke potion vnion heere follow mother d temp red exchange noble hamlet fathers death heauen free follow dead horatio wretched queene adiew looke pale tremble chance mutes audience acte time fell sergeant death d horatio dead liu report right beleeue antike roman dane heere s liquor left cup heauen t horatio wounded things vnknowne liue euer hold heart felicitie awhile world draw breath paine storie warl
38,2,stand o comemost carefully watch meete marcellus horatio partners watch bid haste goes friends ground leegemen dane o farewell honest souldier releeued barnardo place night holla barnardo horatio peece welcome horatio welcome marcellus thing appear d againe night seene horatio sayes ourfantasie beliefe hold touching dreaded sight twice seene intreated watch minutes night againe apparition approoue eyes tut t appeare sit downe pray againe assaile eares fortified nights seene wel sit downe heare bernardo night al yonder starre s west ward pole course illumine heauen burnes bell towling breake ta
38,3,w hat horatio peece welcome horatio welcome marcellus s thing appear d againe night horatio beleefe hold touching dreaded twice intreated watch minutes night againe apparition approue eyes twill appeare sit downe againe eares fortified story nights downe heare barnardo night yond starre s pole t illume heauen burnes marcellus bell beating peace breake looke comes againe figure king s dead scholler horatio lookes king marke horatio harrowes fear wonder horatio time night faire warlike forme buried denmarke march heauen charge offended away stay charge gone horatio tremble look pale t god beleeu
39,1,great iust royall carthage wound smarts blouds losse maks faint lou citty o nephew thatcarthage nourishde time gaue fit strength loue adored creature citty great syphax yeeld faire noble modest boue sophonisba o iugurth strength doubles turne coward drop feeble basenes horse carthage creature gracde bleed fresh horse publike multitude findes truely gratefull o iugurth fie iugurth common weales noble hart forward bleeds abroad bleed bemond reuengd home carthage fie vngrate faithles feare iugurth sophonisba s beat fresh charge sound retraite respect health braue prince waste blood throw s palene
39,2,o fight carthage charge home wounds smart just great citty thinks y et leaue faire bride euen nuptiall night buckle armes carthage harke heare ingratitude vile staine o ouer far massinissas breast march amaine fame got losse breath godlike gaine bleedes doubtfull fight cries carthage carthage memory forsake gelosso heare carthage infinitely vile looke speakes mute fair plot blush breake lewd act sham d senates firme decrees senates firme decree syphax entertaind stratagem doubt answers whats safe carthage sweet right worthy roialest o wo safe carthage destroy vniust cunninglie politique heads 
39,3,receaud assur d intelligence scipio romes sole hopehath raisd men drawne troupes inuasion carthage pollicie force wild hannibal italy draw war affricke right strik secure countrey vnthought armes letters beare departed rome directly setting course sayling carthage carthage o eternall youth large fame great abounding glory renounefull scipio spread necked eagles sailes reuenging wind strike obedient neptune till prows dash lybian ouse iust armes shine amazfull terror wals o record fathers honord bloud carthage drunke vncle publius bloud carthage drunke soules choice italians carthage set wing r
40,1,vvell lessond shallwe lease andronicus s nd lucius thrice valiant sonne vvho leades rome band warlike gothes bid banquet house vvhen euen emne feast bring empresse hir sonnes emperour foes mercie stoppe kneele ease angry hart vvhat sayes andronicus deuise marcus brother sad titus calles gentle marcus nephew lucius enquire gothes bid repaire bring chiefest princes gothes bid encampe souldiers emperour empresse feast house feast loue regards aged fathers life soone returne againe busines min sters long rape murder stay els brother backe againe cleaue reuenge lucius vvhat boyes abide vvhiles lord
40,2,turne behold child tamora deliuered issue irreligious moore chiefe architect plotter woes villaine aliue titus house witnes true iudge course titus reuenge wrongs vnspeakeable past patience liuing beare heard truth romaines ought amisse shew place behold pleading poore remainder andronicie vvill hand hand headlong hurle selues ragged stones beat forth soules mutuall closure house romans wee lo hand hand lucius fall reuerent rome bring emperour gently hand lucius emperour common voice lucius haile romes royall emperour old titus sorrowfull house hither hale misbelieuing moore adiudge dyrefull s
